#Overview of data in ClinVar by gene, dated November 7, 2021
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
ABCB9	23457	19	19	-	-	605453	3	0
ABCC1	4363	386	381	45	15	158343	160	1
ABCC10	89845	12	12	1	-	612509	-	-
ABCC11	85320	43	41	21	-	607040	8	0
ABCC12	94160	30	30	8	-	607041	4	0
ABCC2	1244	554	418	537	52	601107	236	23
ABCC3	8714	22	22	11	-	604323	1	0
ABCC4	10257	95	95	17	1	605250	11	0
ABCC5	10057	40	40	4	1	605251	3	0
ABCC5-AS1	100873982	20	20	-	1	-	1	0
ABCC6	368	1259	904	900	265	603234	321	11
ABCC8	6833	2046	1108	2025	231	600509	191	90
ABCC9	10060	1605	888	1558	28	601439	352	54
ABCD1	215	1323	942	1077	236	300371	218	36
ABCD2	225	21	21	2	-	601081	8	0
ABCD3	5825	31	28	15	1	170995	7	0
ABCD4	5826	319	248	295	7	603214	50	3
ABCE1	6059	38	38	5	-	601213	3	0
ABCF1	23	12	12	3	-	603429	1	0
ABCF2	10061	68	68	-	1	612510	4	0
ABCF2-H2BK1	114483834	35	35	-	1	-	1	0
ABCF3	55324	37	37	1	-	618967	2	0
ABCG1	9619	91	86	5	3	603076	4	0
ABCG2	9429	45	37	24	-	603756	5	0
ABCG4	64137	36	35	4	-	607784	4	0
ABCG5	64240	420	273	390	21	605459	132	19
ABCG8	64241	614	381	517	20	605460	202	26
ABHD1	84696	17	17	-	-	612195	3	0
ABHD10	55347	14	14	-	-	618756	-	-
ABHD11	83451	164	155	1	1	-	4	0
ABHD11-AS1	171022	162	153	-	-	612545	4	0
ABHD12	26090	411	311	376	26	613599	124	17
ABHD12B	145447	16	16	-	-	-	6	0
ABHD13	84945	97	97	-	-	-	7	0
ABHD14A	25864	13	13	-	-	618771	2	0
ABHD14A-ACY1	100526760	80	52	-	6	-	15	0
ABHD14B	84836	13	13	-	-	-	2	0
ABHD15	116236	11	11	-	-	-	1	0
ABHD16A	7920	19	19	9	3	142620	8	0
ABHD16B	140701	40	38	-	-	-	5	0
ABHD17A	81926	33	33	-	-	617942	4	0
ABHD17B	51104	43	42	-	-	617943	4	0
ABHD17C	58489	24	23	-	-	617944	4	0
ABHD18	80167	38	36	-	-	-	8	0
ABHD2	11057	40	39	5	1	612196	2	0
ABHD3	171586	36	34	1	-	612197	1	0
ABHD4	63874	23	23	-	-	-	2	0
ABHD5	51099	190	172	181	17	604780	92	2
ABHD6	57406	13	13	1	-	616966	2	0
ABHD8	79575	19	19	1	-	-	6	0
ABI1	10006	20	19	1	1	603050	2	0
ABI2	10152	25	25	-	-	606442	1	0
ABI3	51225	18	18	4	-	606363	3	0
ABI3BP	25890	19	19	-	1	606279	1	0
ABITRAM	54942	41	40	-	-	-	4	0
ABL1	25	173	141	95	41	189980	12	1
ABL2	27	35	34	7	1	164690	5	0
ABLIM1	3983	30	30	-	1	602330	2	0
ABLIM2	84448	72	72	1	-	612544	4	0
ABLIM3	22885	22	21	5	-	611305	4	0
ABO	28	74	73	24	-	110300	6	0
ABR	29	167	167	6	25	600365	32	0
ABR-AS1	105371479	37	37	-	-	-	3	0
ABRA	137735	41	41	-	-	609747	6	0
ABRACL	58527	14	14	-	-	-	1	0
ABRAXAS1	84142	407	321	376	-	611143	180	14
ABRAXAS2	23172	52	52	-	1	611144	1	0
ABT1	29777	13	13	-	-	618750	5	0
ABTB1	80325	12	12	-	-	608308	1	0
ABTB2	25841	36	36	-	2	-	6	0
ACAA1	30	16	16	1	-	604054	4	0
ACAA2	10449	44	42	1	-	604770	3	0
ACACA	31	149	141	17	1	200350	18	0
ACACB	32	84	83	52	1	601557	12	1
ACAD10	80724	20	20	-	-	611181	3	0
ACAD11	84129	21	21	3	2	614288	7	0
ACAD8	27034	329	263	233	12	604773	85	13
ACAD9	28976	577	420	559	58	611103	63	20
ACADL	33	36	33	11	-	609576	9	1
ACADM	34	922	488	892	150	607008	125	45
ACADS	35	425	258	407	42	606885	125	27
ACADSB	36	337	275	289	13	600301	114	11
ACADVL	37	1809	970	1763	227	609575	348	99
ACAN	176	455	331	416	48	155760	65	4
ACAP1	9744	30	29	-	1	607763	5	0
ACAP2	23527	48	48	1	1	607766	7	0
ACAP3	116983	161	158	-	-	-	11	0
ACAT1	38	512	365	490	116	607809	92	13
ACAT2	39	32	32	9	1	100678	6	0
ACBD3	64746	35	34	1	1	606809	2	0
ACBD3-AS1	107985353	14	14	-	-	-	-	-
ACBD4	79777	12	12	-	-	-	2	0
ACBD5	91452	230	208	190	11	616618	73	1
ACBD6	84320	99	87	2	7	616352	23	0
ACBD7	414149	19	19	-	-	-	-	-
ACBD7-DCLRE1CP1	108949267	8	8	-	-	-	-	-
ACCS	84680	25	25	4	-	608405	5	0
ACCSL	390110	21	21	-	-	-	5	0
ACD	65057	263	225	228	3	609377	115	2
ACE	1636	350	271	326	26	106180	126	8
ACE2	59272	196	190	7	-	300335	12	0
ACER1	125981	14	14	2	-	613491	4	0
ACER2	340485	89	87	-	2	613492	4	0
ACER3	55331	27	26	17	4	617036	4	0
ACHE	43	35	35	11	-	100740	2	0
ACIN1	22985	21	21	-	-	604562	1	0
ACKR1	2532	19	15	9	3	613665	2	0
ACKR2	1238	7	7	-	-	602648	-	-
ACKR3	57007	74	73	7	4	610376	5	0
ACKR4	51554	14	14	-	-	606065	3	0
ACLY	47	24	24	16	-	108728	10	0
ACMSD	130013	16	16	4	-	608889	2	0
ACO1	48	71	69	5	-	100880	1	0
ACO2	50	386	279	345	28	100850	91	4
ACOD1	730249	61	61	4	-	615275	-	-
ACOT1	641371	28	28	8	1	614313	-	-
ACOT11	26027	41	41	5	-	606803	3	0
ACOT12	134526	11	11	-	-	614315	4	0
ACOT13	55856	11	11	-	-	615652	3	0
ACOT2	10965	23	22	2	1	609972	-	-
ACOT4	122970	18	18	-	-	614314	3	0
ACOT6	641372	14	14	-	-	614267	-	-
ACOT7	11332	65	65	3	2	602587	5	0
ACOT8	10005	9	9	-	-	608123	-	-
ACOT9	23597	170	164	3	-	300862	7	0
ACOX1	51	480	384	455	28	609751	151	13
ACOX2	8309	41	41	23	2	601641	10	0
ACOX3	8310	91	91	17	1	603402	8	0
ACOXL	55289	58	56	-	1	-	21	0
ACOXL-AS1	400997	18	16	-	-	-	12	0
ACP1	52	64	64	8	-	171500	14	0
ACP2	53	25	25	11	-	171650	2	0
ACP3	55	18	18	5	-	171790	3	0
ACP4	93650	31	30	15	6	606362	5	1
ACP5	54	181	148	164	17	171640	73	2
ACP6	51205	288	277	4	2	611471	10	0
ACP7	390928	8	8	-	-	610490	-	-
ACR	49	154	150	6	44	102480	6	0
ACRBP	84519	45	45	1	-	608352	2	0
ACRV1	56	62	62	1	-	102525	3	0
ACSBG1	23205	32	31	4	-	614362	4	0
ACSBG2	81616	16	16	4	-	614363	3	0
ACSF2	80221	16	16	-	-	610465	-	-
ACSF3	197322	761	557	676	74	614245	115	7
ACSL1	2180	109	109	3	-	152425	9	0
ACSL3	2181	34	34	4	-	602371	1	0
ACSL3-AS1	105373904	10	10	-	-	-	-	-
ACSL4	2182	251	225	76	8	300157	30	5
ACSL5	51703	31	31	4	-	605677	1	0
ACSL6	23305	24	23	3	-	604443	3	0
ACSL6-AS1	101927693	7	7	-	-	-	-	-
ACSM1	116285	26	26	3	-	614357	7	0
ACSM2A	123876	25	25	2	-	614358	7	0
ACSM2B	348158	27	27	3	-	614359	7	0
ACSM3	6296	20	20	-	-	145505	5	0
ACSM4	341392	48	46	-	-	614360	5	0
ACSM5	54988	28	28	3	-	614361	8	0
ACSM6	142827	22	22	-	-	-	6	0
ACSS1	84532	25	25	1	-	614355	5	0
ACSS2	55902	18	18	5	1	605832	1	0
ACSS3	79611	17	17	-	-	614356	4	0
ACTA1	58	493	318	452	112	102610	88	18
ACTA2	59	621	353	588	27	102620	171	19
ACTA2-AS1	100132116	205	128	-	7	-	73	0
ACTB	60	437	306	382	88	102630	48	5
ACTBL2	345651	16	16	1	-	614835	5	0
ACTC1	70	1060	497	1036	19	102540	237	41
ACTE1P	399923	2	2	-	-	-	1	0
ACTG1	71	572	335	538	40	102560	42	10
ACTG2	72	126	60	113	29	102545	13	0
ACTL10	170487	15	15	-	-	-	3	0
ACTL6A	86	38	36	8	-	604958	7	1
ACTL6B	51412	85	52	61	18	612458	7	2
ACTL7A	10881	39	38	-	-	604303	2	0
ACTL7B	10880	39	38	1	-	604304	1	0
ACTL8	81569	24	24	-	-	-	7	0
ACTL9	284382	13	13	3	3	619251	3	0
ACTN1	87	143	131	128	24	102575	21	1
ACTN1-DT	161159	3	3	-	-	-	-	-
ACTN2	88	1691	867	1635	14	102573	428	57
ACTN3	89	15	13	4	-	102574	3	1
ACTN4	81	236	166	218	8	604638	34	3
ACTR10	55860	17	17	-	-	-	-	-
ACTR1A	10121	17	17	-	-	605143	-	-
ACTR1B	10120	22	22	-	-	605144	3	0
ACTR2	10097	16	16	-	-	604221	1	0
ACTR3	10096	13	13	1	1	604222	-	-
ACTR3B	57180	85	85	-	4	-	12	0
ACTR3C	653857	65	65	1	4	-	4	0
ACTR5	79913	10	10	-	-	-	1	0
ACTR6	64431	18	18	-	-	-	6	0
ACTR8	93973	11	11	1	-	-	2	0
ACTRT1	139741	193	188	5	-	300487	10	0
ACTRT2	140625	130	130	-	-	608535	18	0
ACTRT3	84517	22	22	-	1	608534	1	0
ACVR1	90	158	122	130	13	102576	34	0
ACVR1B	91	16	16	5	3	601300	2	0
ACVR1C	130399	49	49	28	1	608981	2	0
ACVR2A	92	38	38	4	5	102581	2	0
ACVR2B	93	366	305	350	2	602730	170	2
ACVR2B-AS1	100128640	11	10	-	-	-	4	0
ACVRL1	94	848	584	803	257	601284	141	15
ACY1	95	91	63	75	6	104620	17	6
ACY3	91703	21	21	-	-	614413	6	0
ACYP1	97	43	22	23	-	600875	2	1
ACYP2	98	37	37	2	-	102595	4	0
ADA	100	637	338	626	80	608958	82	15
ADA2	51816	412	309	328	38	607575	112	4
ADAD1	132612	20	20	-	-	614130	-	-
ADAD2	161931	61	61	1	1	619532	14	0
ADAL	161823	26	25	2	1	619346	9	0
ADAM10	102	61	60	40	6	602192	9	0
ADAM11	4185	14	14	2	1	155120	1	0
ADAM12	8038	69	69	7	1	602714	3	0
ADAM15	8751	17	15	4	-	605548	4	0
ADAM17	6868	292	263	272	6	603639	102	0
ADAM18	8749	46	46	-	1	619495	3	0
ADAM19	8728	26	26	8	-	603640	1	0
ADAM2	2515	47	47	-	1	601533	4	0
ADAM20	8748	12	12	-	-	603712	1	0
ADAM21	8747	12	12	-	-	603713	1	0
ADAM22	53616	49	48	31	4	603709	4	0
ADAM23	8745	32	32	10	1	603710	1	0
ADAM28	10863	76	76	4	1	606188	5	0
ADAM29	11086	69	69	-	-	604778	6	0
ADAM30	11085	18	18	-	-	604779	8	0
ADAM32	203102	48	48	-	2	618602	3	0
ADAM33	80332	55	54	12	-	607114	15	0
ADAM7	8756	75	75	1	1	607310	7	0
ADAM8	101	111	111	8	-	602267	13	0
ADAM9	8754	307	256	258	13	602713	117	11
ADAMDEC1	27299	80	80	9	-	606393	5	0
ADAMTS1	9510	92	87	21	1	605174	5	0
ADAMTS10	81794	323	239	313	8	608990	95	14
ADAMTS12	81792	37	37	9	-	606184	3	0
ADAMTS13	11093	446	338	398	43	604134	105	12
ADAMTS14	140766	22	22	7	-	607506	2	0
ADAMTS15	170689	86	86	5	-	607509	2	0
ADAMTS16	170690	115	115	1	1	607510	3	0
ADAMTS16-DT	101929176	51	51	-	-	-	-	-
ADAMTS17	170691	701	597	582	12	607511	241	9
ADAMTS18	170692	495	469	432	20	607512	219	0
ADAMTS19	171019	32	31	7	-	607513	5	0
ADAMTS19-AS1	103689846	7	7	-	-	-	1	0
ADAMTS2	9509	1401	900	1343	29	604539	286	63
ADAMTS20	80070	18	18	2	-	611681	4	0
ADAMTS3	9508	48	43	22	4	605011	7	0
ADAMTS4	9507	32	29	1	-	603876	14	0
ADAMTS5	11096	81	76	7	-	605007	7	0
ADAMTS6	11174	20	20	2	2	605008	4	0
ADAMTS7	11173	39	38	16	-	605009	2	0
ADAMTS8	11095	82	82	1	1	605175	2	0
ADAMTS9	56999	110	109	98	-	605421	1	0
ADAMTS9-AS1	101929335	10	10	-	-	-	-	-
ADAMTS9-AS2	100507098	13	13	-	2	-	-	-
ADAMTSL1	92949	113	111	14	10	609198	7	0
ADAMTSL2	9719	319	239	275	13	612277	114	13
ADAMTSL3	57188	145	142	95	1	609199	12	0
ADAMTSL4	54507	302	227	288	17	610113	99	9
ADAMTSL4-AS1	574406	3	3	-	-	-	-	-
ADAMTSL4-AS2	100289061	117	92	-	9	-	32	0
ADAMTSL5	339366	25	25	-	-	-	4	0
ADAP1	11033	82	82	2	-	608114	10	0
ADAP2	55803	58	58	1	-	608635	16	0
ADAR	103	627	468	608	45	146920	226	12
ADARB1	104	120	112	15	7	601218	20	1
ADARB2	105	66	66	9	4	602065	13	0
ADARB2-AS1	642394	18	18	-	-	-	2	0
ADAT1	23536	42	42	1	-	604230	14	0
ADAT2	134637	14	14	-	1	615388	2	0
ADAT3	113179	96	75	62	2	615302	26	2
ADCK1	57143	25	25	-	-	-	5	0
ADCK2	90956	40	40	-	-	-	1	0
ADCK5	203054	66	66	-	-	-	14	0
ADCY1	107	119	95	93	1	103072	11	0
ADCY10	55811	220	205	200	11	605205	31	0
ADCY2	108	119	119	5	3	103071	7	0
ADCY3	109	33	33	12	-	600291	4	0
ADCY4	196883	23	23	1	-	600292	1	0
ADCY5	111	348	272	307	27	600293	61	5
ADCY6	112	70	69	54	5	600294	7	0
ADCY6-DT	100506125	1	1	-	-	-	-	-
ADCY7	113	32	32	7	-	600385	3	0
ADCY8	114	61	61	6	-	103070	5	0
ADCY9	115	73	72	22	5	603302	9	0
ADCYAP1	116	144	139	-	-	102980	24	0
ADCYAP1R1	117	29	29	2	-	102981	3	0
ADD1	118	119	118	12	2	102680	4	0
ADD2	119	13	13	3	-	102681	1	0
ADD3	120	57	52	31	1	601568	8	1
ADD3-AS1	100505933	8	8	-	-	-	1	0
ADGB	79747	18	18	-	2	614630	3	0
ADGB-DT	101928661	6	6	-	-	-	-	-
ADGRA1	84435	104	104	1	-	612302	13	0
ADGRA1-AS1	100128127	43	43	-	-	-	6	0
ADGRA2	25960	55	55	6	-	606823	7	0
ADGRA3	166647	323	317	288	1	612303	179	0
ADGRB1	575	62	62	9	1	602682	4	0
ADGRB2	576	34	34	16	1	602683	6	0
ADGRB3	577	22	22	2	5	602684	3	0
ADGRB3-DT	101928307	2	2	-	-	-	-	-
ADGRD1	283383	24	24	-	-	613639	3	0
ADGRD1-AS1	105755954	9	9	-	-	-	-	-
ADGRD2	347088	29	28	-	-	-	-	-
ADGRE1	2015	17	17	6	-	600493	1	0
ADGRE2	30817	41	41	24	5	606100	5	0
ADGRE3	84658	33	33	-	-	606101	2	0
ADGRE5	976	22	22	4	-	601211	2	0
ADGRF1	266977	12	12	2	-	617430	-	-
ADGRF2	222611	10	10	-	-	-	-	-
ADGRF3	165082	18	18	-	2	-	2	0
ADGRF4	221393	11	11	1	-	614268	1	0
ADGRF5	221395	10	10	-	-	-	-	-
ADGRF5-AS1	101926962	2	2	-	-	-	-	-
ADGRG1	9289	716	488	690	44	604110	101	36
ADGRG2	10149	203	195	21	10	300572	11	0
ADGRG3	222487	58	58	-	-	618441	23	0
ADGRG4	139378	185	179	6	1	-	5	0
ADGRG5	221188	27	27	2	-	616965	7	0
ADGRG6	57211	94	88	76	4	612243	12	0
ADGRG7	84873	29	28	7	-	612307	-	-
ADGRL1	22859	24	24	5	3	616416	4	0
ADGRL1-AS1	100507373	13	13	-	2	-	3	0
ADGRL2	23266	21	21	4	-	607018	2	0
ADGRL3	23284	28	28	-	-	616417	9	0
ADGRL3-AS1	101927186	8	8	-	-	-	-	-
ADGRL4	64123	27	27	1	-	616419	10	0
ADGRV1	84059	4306	2405	4231	210	602851	1027	237
ADH1A	124	19	19	1	-	103700	1	0
ADH1B	125	29	28	11	-	103720	4	0
ADH1C	126	26	26	9	-	103730	4	0
ADH4	127	17	17	1	-	103740	1	0
ADH5	128	19	19	3	3	103710	1	0
ADH6	130	16	16	-	-	103735	1	0
ADH7	131	19	19	1	-	600086	4	0
ADHFE1	137872	25	25	-	-	611083	1	0
ADI1	55256	34	34	-	-	613400	9	0
ADIG	149685	9	9	-	-	611396	-	-
ADIPOQ	9370	56	56	9	2	605441	5	0
ADIPOQ-AS1	100874095	27	27	-	1	-	3	0
ADIPOR1	51094	55	53	39	-	607945	21	0
ADIPOR2	79602	70	70	1	1	607946	6	0
ADIRF	10974	45	43	-	-	-	1	0
ADIRF-AS1	100133190	45	43	-	-	-	1	0
ADK	132	83	73	63	7	102750	26	0
ADM	133	20	20	4	-	103275	1	0
ADM-DT	105376544	5	5	-	-	-	1	0
ADM2	79924	138	136	1	2	608682	7	0
ADM5	199800	11	11	-	-	-	1	0
ADNP	23394	356	237	325	87	611386	40	3
ADNP-AS1	101927631	102	73	-	7	-	29	0
ADNP2	22850	170	163	-	-	617422	9	0
ADO	84890	17	17	-	-	611392	3	0
ADORA1	134	24	23	9	-	102775	4	0
ADORA2A	135	103	99	7	1	102776	38	0
ADORA2A-AS1	646023	47	43	-	-	-	25	0
ADORA2B	136	45	45	4	3	600446	12	0
ADORA3	140	13	13	1	-	600445	-	-
ADPGK	83440	36	35	-	-	611861	4	0
ADPGK-AS1	100287559	10	10	-	-	-	-	-
ADPRH	141	18	18	-	-	603081	4	0
ADPRHL1	113622	112	112	4	-	610620	8	0
ADPRM	56985	23	23	-	-	-	5	0
ADPRS	54936	35	28	22	11	610624	7	1
ADRA1A	148	75	75	5	-	104221	3	0
ADRA1B	147	19	19	1	-	104220	-	-
ADRA1D	146	30	30	1	-	104219	4	0
ADRA2A	150	28	28	4	-	104210	-	-
ADRA2B	151	75	74	18	-	104260	37	0
ADRA2C	152	100	100	3	-	104250	2	0
ADRB1	153	40	39	14	-	109630	-	-
ADRB2	154	50	46	33	-	109690	2	0
ADRB3	155	60	59	11	-	109691	7	0
ADRM1	11047	34	32	6	-	610650	5	0
ADSL	158	556	365	531	43	608222	171	25
ADSS1	122622	107	100	42	7	612498	14	0
ADSS2	159	89	88	-	1	103060	5	0
ADTRP	84830	27	27	-	-	614348	2	0
AEBP1	165	104	87	76	10	602981	4	0
AEBP2	121536	37	37	-	-	617934	2	0
AEN	64782	32	31	-	-	610177	1	0
AFAP1	60312	78	78	2	2	608252	7	0
AFAP1-AS1	84740	31	31	-	-	-	1	0
AFAP1L1	134265	17	16	-	-	614410	2	0
AFAP1L2	84632	45	45	2	1	612420	1	0
AFDN	4301	67	67	3	4	159559	3	0
AFDN-DT	653483	20	20	-	-	-	-	-
AFF1	4299	40	40	9	3	159557	8	0
AFF1-AS1	100506746	9	9	-	-	-	-	-
AFF2	2334	369	323	156	12	300806	84	1
AFF3	3899	37	35	14	8	601464	10	0
AFF4	27125	113	105	87	3	604417	25	0
AFG1L	246269	21	21	-	-	617469	2	0
AFG3L2	10939	483	339	387	51	604581	93	7
AFM	173	21	21	-	-	104145	3	0
AFMID	125061	18	18	-	-	-	-	-
AFP	174	33	33	12	3	104150	3	0
AFTPH	54812	15	15	-	1	-	-	-
AFTPH-DT	101927402	3	3	-	-	-	-	-
AGA	175	470	327	391	60	613228	71	15
AGA-DT	285500	36	36	-	1	-	2	0
AGAP1	116987	90	90	6	9	608651	18	0
AGAP1-IT1	100506749	24	24	-	-	-	1	0
AGAP10	728127	102	101	-	-	-	8	0
AGAP11	119385	51	49	-	1	-	1	0
AGAP2	116986	11	11	1	-	605476	-	-
AGAP2-AS1	100130776	3	3	-	-	-	-	-
AGAP3	116988	70	70	2	1	616813	6	0
AGAP4	119016	39	39	-	-	-	3	0
AGAP5	729092	18	18	-	-	-	2	0
AGAP6	414189	51	51	1	-	-	14	0
AGAP9	642517	104	104	-	-	-	9	0
AGBL1	123624	49	47	6	5	615496	15	1
AGBL1-AS1	727915	8	8	-	-	-	-	-
AGBL2	79841	27	26	13	1	617345	3	0
AGBL3	340351	43	43	9	1	617346	2	0
AGBL4	84871	50	50	-	-	616476	21	0
AGBL4-AS1	101929721	3	3	-	-	-	2	0
AGBL4-IT1	100874313	5	5	-	-	-	3	0
AGBL5	60509	271	265	250	14	615900	145	0
AGBL5-AS1	100874031	9	9	-	-	-	2	0
AGER	177	26	24	14	-	600214	4	2
AGFG1	3267	23	23	2	-	600862	1	0
AGFG2	3268	22	22	-	-	604019	1	0
AGGF1	55109	22	21	9	-	608464	2	0
AGK	55750	337	219	293	27	610345	66	11
AGK-DT	105375538	21	20	-	-	-	2	0
AGL	178	1848	1295	1822	280	610860	510	33
AGMAT	79814	33	33	4	1	617887	3	0
AGMO	392636	90	88	21	2	613738	32	1
AGO1	26523	57	49	42	9	606228	10	1
AGO2	27161	76	74	23	5	606229	6	1
AGO3	192669	32	32	17	3	607355	5	0
AGO4	192670	14	14	1	-	607356	4	0
AGPAT1	10554	12	12	-	-	603099	4	0
AGPAT2	10555	258	201	193	30	603100	68	7
AGPAT3	56894	94	88	-	-	614794	12	0
AGPAT4	56895	33	33	-	1	614795	7	0
AGPAT4-IT1	79992	14	14	-	-	-	1	0
AGPAT5	55326	108	107	2	-	614796	8	0
AGPS	8540	453	376	420	7	603051	123	10
AGR2	10551	43	43	-	-	606358	6	0
AGR3	155465	53	53	-	-	609482	8	0
AGRN	375790	1681	1303	1509	32	103320	552	13
AGRP	181	35	34	5	1	602311	5	0
AGT	183	176	142	134	7	106150	59	1
AGTPBP1	23287	64	59	25	18	606830	10	0
AGTR1	185	103	87	86	6	106165	39	2
AGTR2	186	194	181	30	-	300034	16	0
AGTRAP	57085	44	44	-	-	608729	9	0
AGXT	189	899	560	800	207	604285	75	14
AGXT2	64902	33	32	9	-	612471	3	0
AHCTF1	25909	97	96	2	-	610853	14	0
AHCY	191	145	110	127	5	180960	48	10
AHCYL1	10768	18	18	-	-	607826	1	0
AHCYL2	23382	26	26	-	1	616520	1	0
AHDC1	27245	402	291	377	90	615790	43	7
AHI1	54806	991	634	950	109	608894	237	40
AHI1-DT	100131814	5	5	-	1	-	-	-
AHNAK	79026	104	101	89	2	103390	10	1
AHNAK2	113146	95	93	29	1	608570	15	0
AHR	196	207	204	145	2	600253	107	0
AHRR	57491	158	157	8	-	606517	14	0
AHSA1	10598	22	22	2	-	608466	3	0
AHSG	197	62	60	21	2	138680	1	0
AHSP	51327	18	18	1	-	605821	5	0
AICDA	57379	226	177	179	23	605257	68	3
AIDA	64853	27	26	-	1	612375	3	0
AIF1	199	10	10	-	-	601833	2	0
AIF1L	83543	36	35	-	-	-	3	0
AIFM1	9131	511	398	332	33	300169	80	8
AIFM2	84883	14	14	-	-	605159	1	0
AIFM3	150209	404	387	-	1	617298	47	0
AIG1	51390	14	14	-	-	608514	2	0
AIM2	9447	16	14	6	-	604578	2	1
AIMP1	9255	57	50	37	6	603605	5	0
AIMP2	7965	79	77	16	10	600859	16	1
AIP	9049	619	392	600	57	605555	184	21
AIPL1	23746	679	312	654	34	604392	139	34
AIRE	326	982	638	889	108	607358	165	16
AIRN	100271873	22	22	-	-	604893	2	0
AJAP1	55966	83	83	3	5	610972	4	0
AJM1	389813	76	72	-	-	-	2	0
AJUBA	84962	21	21	-	-	609066	1	0
AK1	203	78	71	24	10	103000	3	0
AK2	204	153	130	138	19	103020	48	5
AK3	50808	163	161	-	-	609290	7	0
AK4	205	27	27	-	-	103030	4	0
AK5	26289	29	29	4	1	608009	8	0
AK6	102157402	5	5	-	-	619357	1	0
AK7	122481	30	29	7	4	615364	3	0
AK8	158067	40	39	-	3	615365	2	0
AK9	221264	44	44	15	2	615358	9	0
AKAIN1	642597	108	103	-	-	616427	5	0
AKAP1	8165	31	31	18	-	602449	2	0
AKAP10	11216	115	115	3	-	604694	13	0
AKAP11	11215	49	49	9	-	604696	1	0
AKAP12	9590	40	40	17	-	604698	2	0
AKAP13	11214	50	49	17	2	604686	3	0
AKAP14	158798	174	170	-	-	300462	7	0
AKAP17A	8227	116	112	-	-	312095	8	0
AKAP17A	8227	116	112	-	-	465000	8	0
AKAP3	10566	61	61	2	-	604689	4	0
AKAP4	8852	165	160	2	-	300185	2	0
AKAP5	9495	16	16	3	-	604688	-	-
AKAP6	9472	41	41	12	-	604691	9	0
AKAP7	9465	14	14	-	1	604693	-	-
AKAP8	10270	44	44	26	1	604692	3	0
AKAP8L	26993	21	21	4	-	609475	3	0
AKAP9	10142	1853	1106	1815	6	604001	523	74
AKIP1	56672	21	21	1	-	609191	4	0
AKIRIN1	79647	13	13	-	-	615164	4	0
AKIRIN2	55122	20	20	2	-	615165	3	0
